frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"1","0.000000000","10.8.0.2","103.97.83.153","6","76"
"2","0.006000000","103.97.83.153","10.8.0.2","6","76"
"3","0.013000000","10.8.0.2","103.97.83.153","6","308"
"4","0.021000000","103.97.83.153","10.8.0.2","6","68"
"5","0.044000000","103.97.83.153","10.8.0.2","6","116"
"6","0.045000000","10.8.0.2","103.97.83.153","6","68"
"7","0.188000000","10.8.0.2","103.97.83.153","6","580"
"8","0.204000000","103.97.83.153","10.8.0.2","6","116"
"9","0.205000000","10.8.0.2","103.97.83.153","6","68"
"10","0.208000000","103.97.83.153","10.8.0.2","6","196"
"11","0.209000000","10.8.0.2","103.97.83.153","6","68"
"12","0.219000000","10.8.0.2","103.97.83.153","6","132"
"13","0.257000000","103.97.83.153","10.8.0.2","6","68"
"14","0.403000000","10.8.0.2","54.154.242.135","6","76"
"15","0.405000000","54.154.242.135","10.8.0.2","6","76"
"16","0.407000000","10.8.0.2","54.154.242.135","6","245"
"17","0.410000000","54.154.242.135","10.8.0.2","6","68"
"18","0.481000000","10.8.0.2","183.236.60.120","6","76"
"19","0.483000000","183.236.60.120","10.8.0.2","6","76"
"20","0.485000000","10.8.0.2","183.236.60.120","6","250"
"21","0.487000000","183.236.60.120","10.8.0.2","6","68"
"22","0.501000000","183.236.60.120","10.8.0.2","6","6095"
"23","0.502000000","10.8.0.2","183.236.60.120","6","68"
"24","0.515000000","10.8.0.2","183.236.60.120","6","194"
"25","0.522000000","183.236.60.120","10.8.0.2","6","411"
"26","0.524000000","10.8.0.2","183.236.60.120","6","1175"
"27","0.533000000","183.236.60.120","10.8.0.2","6","119"
"28","0.534000000","10.8.0.2","183.236.60.120","6","106"
"29","0.554000000","183.236.60.120","10.8.0.2","6","228"
"30","0.586000000","10.8.0.2","183.236.60.120","6","68"
"31","0.933000000","54.154.242.135","10.8.0.2","6","3365"
"32","0.935000000","10.8.0.2","54.154.242.135","6","68"
"33","0.955000000","10.8.0.2","54.154.242.135","6","194"
"34","0.959000000","54.154.242.135","10.8.0.2","6","68"
"35","1.185000000","10.8.0.2","103.97.83.153","6","228"
"36","1.188000000","103.97.83.153","10.8.0.2","6","68"
"37","1.211000000","54.154.242.135","10.8.0.2","6","119"
"38","1.215000000","10.8.0.2","54.154.242.135","6","1741"
"39","1.218000000","54.154.242.135","10.8.0.2","6","68"
"40","1.222000000","103.97.83.153","10.8.0.2","6","116"
"41","1.255000000","10.8.0.2","103.97.83.153","6","68"
"42","1.446000000","54.154.242.135","10.8.0.2","6","314"
"43","1.486000000","10.8.0.2","54.154.242.135","6","68"
"44","5.517000000","10.8.0.2","183.236.60.120","6","114"
"45","5.545000000","183.236.60.120","10.8.0.2","6","114"
"46","5.546000000","10.8.0.2","183.236.60.120","6","68"
"47","6.453000000","10.8.0.2","54.235.112.218","6","76"
"48","6.455000000","54.235.112.218","10.8.0.2","6","76"
"49","6.457000000","10.8.0.2","54.235.112.218","6","247"
"50","6.459000000","54.235.112.218","10.8.0.2","6","68"
"51","7.074000000","54.235.112.218","10.8.0.2","6","5937"
"52","7.075000000","10.8.0.2","54.235.112.218","6","68"
"53","7.091000000","10.8.0.2","54.235.112.218","6","194"
"54","7.092000000","54.235.112.218","10.8.0.2","6","68"
"55","7.382000000","54.235.112.218","10.8.0.2","6","119"
"56","7.389000000","10.8.0.2","54.235.112.218","6","1226"
"57","7.391000000","54.235.112.218","10.8.0.2","6","68"
"58","7.691000000","54.235.112.218","10.8.0.2","6","196"
"59","7.725000000","10.8.0.2","54.235.112.218","6","68"
"60","10.518000000","10.8.0.2","183.236.60.120","6","114"
"61","10.526000000","183.236.60.120","10.8.0.2","6","114"
"62","10.527000000","10.8.0.2","183.236.60.120","6","68"
"63","10.543000000","10.8.0.2","54.154.242.135","6","1741"
"64","10.545000000","54.154.242.135","10.8.0.2","6","68"
"65","10.770000000","54.154.242.135","10.8.0.2","6","314"
"66","10.771000000","10.8.0.2","54.154.242.135","6","68"
"67","11.347000000","10.8.0.2","103.97.83.153","6","228"
"68","11.380000000","103.97.83.153","10.8.0.2","6","116"
"69","11.382000000","10.8.0.2","103.97.83.153","6","68"
"70","15.518000000","10.8.0.2","183.236.60.120","6","114"
"71","15.549000000","183.236.60.120","10.8.0.2","6","114"
