frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"1","0.000000000","17.57.145.69","10.10.153.2","6","66"
"2","0.023057382","185.161.188.63","10.10.153.2","17","183"
"3","0.038196036","185.161.188.63","10.10.153.2","17","1076"
"4","0.038206747","185.161.188.63","10.10.153.2","17","1059"
"5","0.038213480","185.161.188.63","10.10.153.2","17","138"
"6","0.040398710","10.10.153.2","185.161.188.63","17","133"
"7","0.068000924","10.10.153.2","185.161.188.63","17","70"
"8","0.098046803","185.161.188.63","10.10.153.2","17","175"
"9","0.098196575","185.161.188.63","10.10.153.2","17","1059"
"10","0.098207166","185.161.188.63","10.10.153.2","17","909"
"11","0.139626582","10.10.153.2","185.161.188.63","17","146"
"12","0.162186861","185.161.188.63","10.10.153.2","17","1076"
"13","0.162197670","185.161.188.63","10.10.153.2","17","1059"
"14","0.162204328","185.161.188.63","10.10.153.2","17","154"
"15","0.173337045","185.161.188.63","10.10.153.2","17","180"
"16","0.228944734","10.10.153.2","185.161.188.63","17","139"
"17","0.228965192","10.10.153.2","185.161.188.63","17","759"
"18","0.242219939","185.161.188.63","10.10.153.2","17","1059"
"19","0.242928970","185.161.188.63","10.10.153.2","17","1059"
"20","0.242939867","185.161.188.63","10.10.153.2","17","862"
"21","0.255050353","185.161.188.63","10.10.153.2","17","225"
"22","0.298781214","10.10.153.2","185.161.188.63","17","120"
"23","0.312688443","185.161.188.63","10.10.153.2","17","1059"
"24","0.314089680","185.161.188.63","10.10.153.2","17","243"
"25","0.340503883","185.161.188.63","10.10.153.2","17","193"
"26","0.355285840","10.10.153.2","185.161.188.63","17","349"
"27","0.368219637","185.161.188.63","10.10.153.2","17","1059"
"28","0.368230426","185.161.188.63","10.10.153.2","17","380"
"29","0.385382300","10.10.153.2","185.161.188.63","17","146"
"30","0.421306472","185.161.188.63","10.10.153.2","17","182"
"31","0.439826647","185.161.188.63","10.10.153.2","17","1076"
"32","0.440450074","185.161.188.63","10.10.153.2","17","549"
"33","0.462197792","10.10.153.2","185.161.188.63","17","122"
"34","0.489005198","10.10.153.2","185.161.188.63","17","604"
"35","0.510916746","185.161.188.63","10.10.153.2","17","180"
"36","0.526205211","185.161.188.63","10.10.153.2","17","1076"
"37","0.527176465","185.161.188.63","10.10.153.2","17","1059"
"38","0.527187106","185.161.188.63","10.10.153.2","17","745"
"39","0.546510467","10.10.153.2","185.161.188.63","17","117"
"40","0.579399922","185.161.188.63","10.10.153.2","17","179"
"41","0.579538744","185.161.188.63","10.10.153.2","17","1059"
"42","0.579549749","185.161.188.63","10.10.153.2","17","859"
"43","0.622862368","10.10.153.2","185.161.188.63","17","133"
"44","0.649155050","185.161.188.63","10.10.153.2","17","1076"
"45","0.649165939","185.161.188.63","10.10.153.2","17","1059"
"46","0.649172634","185.161.188.63","10.10.153.2","17","317"
"47","0.665030948","185.161.188.63","10.10.153.2","17","176"
"48","0.709904544","10.10.153.2","185.161.188.63","17","133"
"49","0.728817187","185.161.188.63","10.10.153.2","17","1076"
"50","0.728828475","185.161.188.63","10.10.153.2","17","1059"
"51","0.729152554","185.161.188.63","10.10.153.2","17","888"
"52","0.744012150","185.161.188.63","10.10.153.2","17","181"
"53","0.758316488","10.10.153.2","185.161.188.63","17","450"
"54","0.785089487","10.10.153.2","185.161.188.63","17","116"
"55","0.789184851","185.161.188.63","10.10.153.2","17","983"
"56","0.817192866","185.161.188.63","10.10.153.2","17","178"
"57","0.848168309","185.161.188.63","10.10.153.2","17","1059"
"58","0.849067647","185.161.188.63","10.10.153.2","17","288"
"59","0.863964730","10.10.153.2","185.161.188.63","17","145"
"60","0.909013885","185.161.188.63","10.10.153.2","17","192"
"61","0.940677978","10.10.153.2","185.161.188.63","17","112"
"62","0.942822776","185.161.188.63","10.10.153.2","17","1059"
"63","0.942833736","185.161.188.63","10.10.153.2","17","1059"
"64","0.942996266","185.161.188.63","10.10.153.2","17","879"
"65","0.986008530","185.161.188.63","10.10.153.2","17","181"
"66","0.986185478","185.161.188.63","10.10.153.2","17","1059"
"67","0.986375166","185.161.188.63","10.10.153.2","17","474"
"68","1.027078070","10.10.153.2","185.161.188.63","17","143"
"69","1.027097859","10.10.153.2","185.161.188.63","17","521"
"70","1.059330352","185.161.188.63","10.10.153.2","17","196"
"71","1.062162462","185.161.188.63","10.10.153.2","17","1059"
"72","1.062173324","185.161.188.63","10.10.153.2","17","1059"
"73","1.062338876","185.161.188.63","10.10.153.2","17","849"
"74","1.100603103","10.10.153.2","185.161.188.63","17","118"
"75","1.127209397","185.161.188.63","10.10.153.2","17","1059"
"76","1.127220359","185.161.188.63","10.10.153.2","17","981"
"77","1.143016843","185.161.188.63","10.10.153.2","17","199"
"78","1.182233746","10.10.153.2","185.161.188.63","17","137"
"79","1.189234227","185.161.188.63","10.10.153.2","17","1059"
"80","1.190003620","185.161.188.63","10.10.153.2","17","1037"
"81","1.203057105","47.103.135.222","10.10.153.2","6","454"
"82","1.206499450","10.10.153.2","47.103.135.222","6","60"
"83","1.206705646","10.10.153.2","47.103.135.222","6","182"
"84","1.210374152","10.10.153.2","47.103.135.222","6","326"
"85","1.211571173","10.10.153.2","47.103.135.222","6","326"
"86","1.211592626","10.10.153.2","47.103.135.222","6","342"
"87","1.211600892","10.10.153.2","47.103.135.222","6","342"
"88","1.212010858","10.10.153.2","47.103.135.222","6","342"
"89","1.212031912","10.10.153.2","47.103.135.222","6","342"
"90","1.218695705","185.161.188.63","10.10.153.2","17","180"
"91","1.242191031","185.161.188.63","10.10.153.2","17","1076"
"92","1.242202292","185.161.188.63","10.10.153.2","17","902"
"93","1.247359435","47.103.135.222","10.10.153.2","6","66"
"94","1.247370495","47.103.135.222","10.10.153.2","6","66"
"95","1.247378079","47.103.135.222","10.10.153.2","6","66"
"96","1.247929779","47.103.135.222","10.10.153.2","6","66"
"97","1.247941026","47.103.135.222","10.10.153.2","6","66"
"98","1.248842470","10.10.153.2","47.103.135.222","6","454"
"99","1.248862357","10.10.153.2","47.103.135.222","6","1114"
"100","1.259765082","10.10.153.2","185.161.188.63","17","132"
"101","1.263082667","17.57.145.69","10.10.153.2","6","247"
"102","1.265613946","10.10.153.2","17.57.145.69","6","66"
"103","1.284715283","47.103.135.222","10.10.153.2","6","54"
"104","1.284726668","47.103.135.222","10.10.153.2","6","66"
"105","1.296473301","10.10.153.2","185.161.188.63","17","476"
"106","1.297984143","185.161.188.63","10.10.153.2","17","196"
"107","1.329608716","185.161.188.63","10.10.153.2","17","1076"
"108","1.332941066","185.161.188.63","10.10.153.2","17","1059"
"109","1.332952476","185.161.188.63","10.10.153.2","17","1059"
"110","1.332959469","185.161.188.63","10.10.153.2","17","632"
"111","1.336766182","10.10.153.2","185.161.188.63","17","104"
"112","1.341683046","10.10.153.2","17.57.145.69","6","119"
"113","1.344817812","10.10.153.2","47.103.135.222","6","374"
"114","1.378694379","185.161.188.63","10.10.153.2","17","173"
"115","1.380935931","47.103.135.222","10.10.153.2","6","54"
"116","1.395426693","185.161.188.63","10.10.153.2","17","1059"
"117","1.398080129","185.161.188.63","10.10.153.2","17","603"
"118","1.426502547","10.10.153.2","185.161.188.63","17","145"
"119","1.454120070","185.161.188.63","10.10.153.2","17","1076"
"120","1.454131210","185.161.188.63","10.10.153.2","17","347"
"121","1.466987745","185.161.188.63","10.10.153.2","17","177"
"122","1.481048749","47.103.135.222","10.10.153.2","6","438"
"123","1.482979401","47.103.135.222","10.10.153.2","6","150"
"124","1.482990438","47.103.135.222","10.10.153.2","6","150"
"125","1.484621048","17.57.145.69","10.10.153.2","6","66"
"126","1.488385453","10.10.153.2","103.97.83.153","6","242"
"127","1.493336847","10.10.153.2","47.103.135.222","6","60"
"128","1.493358889","10.10.153.2","47.103.135.222","6","60"
"129","1.493376042","10.10.153.2","47.103.135.222","6","60"
"130","1.495173394","47.103.135.222","10.10.153.2","6","1078"
"131","1.495352501","47.103.135.222","10.10.153.2","6","1078"
"132","1.495364237","47.103.135.222","10.10.153.2","6","926"
"133","1.497153774","47.103.135.222","10.10.153.2","6","1078"
"134","1.497915751","103.97.83.153","10.10.153.2","6","66"
"135","1.498920197","103.97.83.153","10.10.153.2","6","114"
"136","1.499560825","10.10.153.2","47.103.135.222","6","60"
"137","1.500155356","10.10.153.2","47.103.135.222","6","60"
"138","1.500174995","10.10.153.2","47.103.135.222","6","60"
